id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,undergraduate,undergrad location,undergraduate type,undergraduate major 1,undergraduate major 2,master,master major,phd,graduate,graduate location,graduate type,phd thesis topic 1,phd thesis topic 2,note
787,Edward C.,Prescott,1940-12-26,0000-00-00,USA,US,Glens Falls NY,,,,male,2004,economics,,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",Edward C. Prescott,Tempe AZ,USA,Swarthmore College,USA,private,mathematics,0,1,engineering,1,Carnegie Mellon,USA,private,economics,0,
799,Robert J.,Aumann,1930-06-08,0000-00-00,Germany,DE,Frankfurt-on-the-Main,,,,male,2005,economics,,2,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",Robert J. Aumann,Jerusalem,Israel,City College of New York,USA,public,mathematics,0,1,mathematics,1,Massachusetts Institute of Technology,USA,private,mathematics,0,
800,Thomas C.,Schelling,1921-04-14,2016-12-13,USA,US,Oakland CA,USA,US,Bethesda MD,male,2005,economics,,2,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",Thomas C. Schelling,College Park MD,USA,"University of California, Berkeley",USA,public,economics,0,0,0,1,Harvard University,USA,private,economics,0,
807,Edmund S.,Phelps,1933-07-26,0000-00-00,USA,US,Evanston IL,,,,male,2006,economics,,1,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",Edmund S. Phelps,New York NY,USA,Amherst College,USA,private,economics,0,0,0,1,Yale University,USA,private,economics,0,
820,Leonid,Hurwicz,1917-08-21,2008-06-24,Russia,RU,Moscow,USA,US,Minneapolis MN,male,2007,economics,,3,"""for having laid the foundations of mechanism design theory""",Leonid Hurwicz,Minneapolis MN,USA,University of Warsaw,Poland,public,law,0,0,0,1,London School of Economics,United Kingdom,public,economics,0,"disrupted education, never got a degree"
821,Eric S.,Maskin,1950-12-12,0000-00-00,USA,US,New York NY,,,,male,2007,economics,,3,"""for having laid the foundations of mechanism design theory""",Eric S. Maskin,Princeton NJ,USA,Harvard University,USA,private,mathematics,0,0,0,1,Harvard University,USA,private,mathematics,0,
822,Roger B.,Myerson,1951-03-29,0000-00-00,USA,US,Boston MA,,,,male,2007,economics,,3,"""for having laid the foundations of mechanism design theory""",Roger B. Myerson,Chicago IL,USA,Harvard University,USA,private,mathematics,0,0,0,1,Harvard University,USA,private,mathematics,0,
834,Paul,Krugman,1953-02-28,0000-00-00,USA,US,New York NY,,,,male,2008,economics,,1,"""for his analysis of trade patterns and location of economic activity""",Paul Krugman,Princeton NJ,USA,Yale University,USA,private,economics,0,0,0,1,Massachusetts Institute of Technology,USA,private,economics,0,
846,Elinor,Ostrom,1933-08-07,2012-06-12,USA,US,Los Angeles CA,USA,US,Bloomington IN,female,2009,economics,,2,"""for her analysis of economic governance especially the commons""",Elinor Ostrom,Bloomington IN,USA,University of California of Los Angeles,USA,public,political science,0,0,0,1,University of California of Los Angeles,USA,public,economics,0,
847,Oliver E.,Williamson,1932-09-27,0000-00-00,USA,US,Superior WI,,,,male,2009,economics,,2,"""for his analysis of economic governance especially the boundaries of the firm""",Oliver E. Williamson,Berkeley CA,USA,Massachusetts Institute of Technology,USA,private,commerce,0,1,MBA,1,Carnegie Mellon,USA,private,economics,0,
856,Peter A.,Diamond,1940-04-29,0000-00-00,USA,US,New York NY,,,,male,2010,economics,,3,"""for their analysis of markets with search frictions""",Peter A. Diamond,Cambridge MA,USA,Yale University,USA,private,mathematics,0,0,0,1,Massachusetts Institute of Technology,USA,private,economics,0,
857,Dale T.,Mortensen,1939-02-02,2014-01-09,USA,US,Enterprise OR,USA,US,Wilmette IL,male,2010,economics,,3,"""for their analysis of markets with search frictions""",Dale T. Mortensen,Evanston IL,USA,Willamette University,USA,private,economics,0,0,0,1,Carnegie Mellon,USA,private,economics,0,
858,Christopher A.,Pissarides,1948-02-20,0000-00-00,Cyprus,CY,Nicosia,,,,male,2010,economics,,3,"""for their analysis of markets with search frictions""",Christopher A. Pissarides,London,United Kingdom,University of Essex,United Kingdom,public,economics,0,1,economics,1,London School of Economics,United Kingdom,public,economics,0,
872,Thomas J.,Sargent,1943-07-19,0000-00-00,USA,US,Pasadena CA,,,,male,2011,economics,,2,"""for their empirical research on cause and effect in the macroeconomy""",Thomas J. Sargent,New York NY,USA,"University of California, Berkeley",USA,public,general,0,0,0,1,Harvard University,USA,private,economics,0,
873,Christopher A.,Sims,1942-10-21,0000-00-00,USA,US,Washington DC,,,,male,2011,economics,,2,"""for their empirical research on cause and effect in the macroeconomy""",Christopher A. Sims,Princeton NJ,USA,Harvard University,USA,private,mathematics,0,0,0,1,Harvard University,USA,private,economics,0,
